FID,geom,site_name,site_address,site_city,site_state,site_zip,site_region,site_area,site_pci,globalid,client_globalid,Latitude,Longitude
Sites.139,POINT (-88.04667328492252 42.285797466860856),3981,3200 W Illinois-60,Mundelein,IL,60060,,251777,93,{e24e738a-28e5-426d-8ab7-c92002b89503},,42.28579746686080000000,-88.04667328492250000000
Sites.390,POINT (-71.40833668767087 42.27782416548499),"117400 - Waverly Plaza
",Waverly St. & Beaver St.,Framingham,MA,1072,,102173,80,{d8ad276d-9a95-4bb4-ac36-c9e1e23ee85b},{9332e7f4-c292-4480-af81-dacc89da5a87},42.27782416548490000000,-71.40833668767080000000
Sites.3,POINT (-71.83218602599999 42.247168155000054),Mill Street Plaza,,,,,,175367,,{732B7A16-4D8C-462B-896A-4DE009D491D2},,42.24716815500000000000,-71.83218602599990000000
Sites.172,POINT (-73.88889279263485 42.24446210882781),The Home Depot Store 6176,695 Rt 23B,Catskill,NY,12451,,275600,62,{95129764-5185-4b23-99bd-afe3e35033e6},,42.24446210882780000000,-73.88889279263480000000
Sites.471,POINT (-87.94695403683068 42.23801459281809),116870 Hawthorn Hills Square S.C.,Townline Rd. & Milwaukee Ave.,Vernon Hills,IL,60061,,562542,36,{6b4e9b56-7cc3-adf6-72b4-89bef345ced2},,42.23801459281800000000,-87.94695403683060000000
Sites.103,POINT (-88.33810760481255 42.17304161846574),The Home Depot Store 1940,200 S Randall Rd,Algonquin,IL,60102,,287078,44,{c1142708-5a49-46e1-a3da-455fe6081568},,42.17304161846570000000,-88.33810760481250000000
Sites.158,POINT (-88.295703697825 42.10602362456614),1948,251 Springhill Rd,Carpentersville,IL,60110,,241400,53,{29f479cc-5842-455a-9165-876b3cf1993b},,42.10602362456610000000,-88.29570369782500000000
Sites.469,POINT (-87.84609181012912 42.104273570355126),117350 - Plaza Del Prado,Willow Rd & Pfingsten Rd,Glenview,IL,60062,,316724,40,{12b32ef9-ae6b-1b8e-11b7-98b72eb187ce},,42.10427357035510000000,-87.84609181012910000000
Sites.99,POINT (-79.28897302959243 42.0945892690526),6154,935 Fairmount Ave,Jamestown,NY,14701,,246068,,{1dbb3177-da04-470a-b3d7-20eac2ee4f5c},,42.09458926905260000000,-79.28897302959240000000
Sites.91,POINT (-79.28897302959243 42.0945892690526),6154,935 Fairmount Ave,Jamestown,NY,14701,,246068,16,{1dbb3177-da04-470a-b3d7-20eac2ee4f5c},,42.09458926905260000000,-79.28897302959240000000
Sites.406,POINT (-87.74594140515055 42.052609355719284),"108540 - Skokie Pointe
",9445 Skokie Blvd,Skokie,IL,60077,,120856,37,{75407b4b-1f9a-439b-98dd-8819f285ac75},{9332e7f4-c292-4480-af81-dacc89da5a87},42.05260935571920000000,-87.74594140515050000000
Sites.120,POINT (-87.84184458042935 42.040993493552364),1981,8662 Dempster St,Niles,IL,60714,,216926,35,{668e7901-1646-4d3d-9205-1ca40d4b5972},,42.04099349355230000000,-87.84184458042930000000
Sites.364,POINT (-93.61225389542827 42.03258593312513),Mary Greeley Hospital,1111 Duff Avenue,Ames,IA,50010,,143766,92,{87dbfcc7-e693-4953-9aa2-516983bd3f93},,42.03258593312510000000,-93.61225389542820000000
Sites.592,POINT (-71.23268784458149 42.02287064216507),Store 2609,390 West St,Mansfield,MA,2048,,382940,57,{f64a8185-1e59-406a-b91f-e4932e9ca855},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},42.02287064216500000000,-71.23268784458140000000
Sites.584,POINT (-88.04670007101511 42.00932517729598),6701,600 Meacham Rd,Elk Grove Village,IL,60007,,233127,71,{35987dc4-370e-44fd-984a-cb20460a85c5},,42.00932517729590000000,-88.04670007101510000000
Sites.537,POINT (-88.34317743004428 41.982443710694085),6923,440 S Randall Rd, South Elgin,IL,60177,,250937,31,{63eb18ef-0378-43ac-897e-f82ff1b49bb9},,41.98244371069400000000,-88.34317743004420000000
Sites.380,POINT (-85.65027841112422 41.9304092346727),2785,1301 S US HWY 131,Three rivers,MI,49093,,243617,71,{6514b00c-ada1-4de1-ba8b-9e01157b407c},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.93040923467270000000,-85.65027841112420000000
Sites.134,POINT (-80.74599780472735 41.879441971791366),3838,3200 Market Pl Dr ,Ashtabula,OH,44004,,334118,46,{61ccd0bd-23b0-4405-94b6-4aaf10134a4a},,41.87944197179130000000,-80.74599780472730000000
Sites.107,POINT (-71.06447348903022 41.877378655840275),2677,899 County Street,taunton,MA,2780,,305549,,{ba6a0c0d-1adf-492c-8e04-b10143a44bee},,41.87737865584020000000,-71.06447348903020000000
Sites.590,POINT (-71.52009635144128 41.874762466511385),4282,371 Putnam Pike,Smithfield,RI,2917,,388537,47,{c2e00b6c-86da-434a-8183-a7f6e7117c00},,41.87476246651130000000,-71.52009635144120000000
Sites.622,POINT (-88.34255210144852 41.85715180236408),Wind POint Shopping Center,Randall Rd. & McKee St.,Batabia ,IL,60510,,626456,39,{a1de3235-d3c6-4be1-8657-a02579badf59},{9332e7f4-c292-4480-af81-dacc89da5a87},41.85715180236400000000,-88.34255210144850000000
Sites.332,POINT (-87.74168376263587 41.841185858381756),1911,2803 S Cicero Ave,Cicero,IL,60804,,300540,51,{0698f6b9-cb8e-41f7-82c3-c71d357e0f62},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.84118585838170000000,-87.74168376263580000000
Sites.250,POINT (-73.06862881799736 41.82244115936566),Store 12345,123 Test Drive,Test City,XX,12345,,,,{b0eb47a4-cbdd-46a1-9776-1aa899fb47c8},{a2ad89c9-1117-415d-9f07-4dc4b59213ed},41.82244115936560000000,-73.06862881799730000000
Sites.334,POINT (-73.06862881799736 41.82244115936566),Store 12345,123 Test Drive,Test City,XX,12345,,245490,67,{a118da7d-d03d-452e-b255-0b7eb39a9456},,41.82244115936560000000,-73.06862881799730000000
Sites.451,POINT (-73.06862881799736 41.82244115936566),Store 12345,123 Test Drive,Test City,XX,12345,,245490,67,{3865fff4-7586-425c-9d6d-2f6208a8c5a6},,41.82244115936560000000,-73.06862881799730000000
Sites.110,POINT (-73.06862881799736 41.82244115936566),TEST,TEST,TEST,TE,12345,,245490,67,{8194364b-d3d9-4749-a123-d78ce1577c49},,41.82244115936560000000,-73.06862881799730000000
Sites.152,POINT (-73.06862881799736 41.82244115936566),12345,123 Test Drive,Test City,XX,12345,,245490,67,{50ebbfa8-e421-4ea3-8d17-c04df150f671},,41.82244115936560000000,-73.06862881799730000000
Sites.125,POINT (-73.06862881799736 41.82244115936566),TEST,TEST,TEST,TE,12345,,245490,67,{c0183cf0-8bff-4022-9ec9-e6401603a626},,41.82244115936560000000,-73.06862881799730000000
Sites.133,POINT (-73.06862881799736 41.82244115936566),TEST,TEST,TEST,TE,12345,,245490,67,{79aad1db-4aba-4dc6-a7ea-a585d7fb5dbe},,41.82244115936560000000,-73.06862881799730000000
Sites.147,POINT (-73.06862881799736 41.82244115936566),12345,123 Test Drive,Test City,CT,12345,,245490,67,{42c3c6eb-8859-448d-b6d9-21f4cc23a692},,41.82244115936560000000,-73.06862881799730000000
Sites.98,POINT (-73.06854518656189 41.82217286142202),6218,1580 Litchfield Turnpike,New Hartford,CT,6057,,245490,,{95d33e09-5d66-4d59-91f6-dba8be3ac91e},,41.82217286142200000000,-73.06854518656180000000
Sites.339,POINT (-90.22971221577035 41.81750528162179),2113,1850 Lincoln Way,Clinton,IA,52732,,279576,79,{0f2fe45a-d23b-4255-ba1c-898901a7d5cc},,41.81750528162170000000,-90.22971221577030000000
Sites.274,POINT (-71.50151133208571 41.81606574081841),4286,100 Stone Hill Rd,Johnston,RI,2919,,259298,95,{b36b3107-fc93-4d61-b0d5-b0b74fb3541b},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.81606574081840000000,-71.50151133208570000000
Sites.169,POINT (-72.71119525222237 41.81377396734476),The Home Depot Store 6228,55 Granby St,Bloomfield,CT,6002,,310958,34,{4acfca25-11a1-4fd1-8e79-e4cb5ad43c07},,41.81377396734470000000,-72.71119525222230000000
Sites.130,POINT (-87.68301303632244 41.810497004923164),1986,4555 S Western Blvd,Chicago,IL,60609,,206570,95,{3cf45a76-af87-4f36-8f33-bee5111325b4},,41.81049700492310000000,-87.68301303632240000000
Sites.124,POINT (-87.86979945840035 41.781221540875165),1983,140 Countryside Plaza,Countryside,IL,60525,,230608,59,{5f4f339e-f800-4f65-a469-50691c31a936},,41.78122154087510000000,-87.86979945840030000000
Sites.578,POINT (-73.92967223155127 41.726542803117106),Store 1266,3470 North Rd.,Poughkeepsie,NY,12601,,289148,47,{b3734441-eba6-4b54-b22a-c5bdb711c91b},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.72654280311710000000,-73.92967223155120000000
Sites.501,POINT (-83.56759003476134 41.719719021160536),3848,1035 W Alexis Rd,Toledo,OH,43612,,282586,94,{2c32df31-0baf-4b47-86f6-43cd08b7bcae},,41.71971902116050000000,-83.56759003476130000000
Sites.277,POINT (-86.18151288931743 41.71177835888732),2033,317 Indian Ridge Blvd,Mishawaka,IN,46545,,228741,58,{00fe8011-70bd-4b47-b97e-ffa400b43776},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.71177835888730000000,-86.18151288931740000000
Sites.171,POINT (-87.78179574122461 41.70990934142949),1935,300 Commons Dr,Chicago Ridge,IL,60415,,609666,15,{ca6ffb2b-6ff6-4300-89b9-2f1b0306ce62},,41.70990934142940000000,-87.78179574122460000000
Sites.135,POINT (-88.32065348160818 41.69471409914352),THD - Store 1975,3080 Route 34,Oswego,IL,60543,,391419,32,{5178f308-18ae-43d7-8149-8c8f631824e6},,41.69471409914350000000,-88.32065348160810000000
Sites.2,POINT (-69.99487634899998 41.683720135000044),,,,,,,80450,25,{9ABCB874-8EC0-4F6D-A598-4BD2AA6FCC76},,41.68372013500000000000,-69.99487634899990000000
Sites.440,POINT (-70.3045612877872 41.67513464212754),"111140 - Festival at Hyannis S.C.
",1070 Iyannough Rd,Hyannis,MA,2601,,619710,57,{7a7ca8f8-7629-471d-a3fb-724972bed57c},{9332e7f4-c292-4480-af81-dacc89da5a87},41.67513464212750000000,-70.30456128778720000000
Sites.424,POINT (-80.16561212642112 41.618587127453225),4169,18541 Smock Hwy,Meadville,PA,16335,,297167,69,{a44f4d5c-435c-4e1e-aa2e-8246bedab7a5},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.61858712745320000000,-80.16561212642110000000
Sites.421,POINT (-80.16551090499586 41.618220414119186),4169,18541 Smock HWY,Meadville,PA,16335,,297125,70,{11baec59-423f-4cbb-bdc3-b12d93f44f63},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.61822041411910000000,-80.16551090499580000000
Sites.441,POINT (-83.68153880068894 41.6152123504197),3801,5900 Airport Hwy,Toledo,OH,43615,,289141,95,{8a4799f4-163c-4c02-b8fb-0a72cce35877},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.61521235041970000000,-83.68153880068890000000
Sites.93,POINT (-71.98989706328803 41.58636578390475),6221,142 River Rd,Lisbon,CT,6351,,333507,68,{31cf6d24-6be2-4640-afd4-37fa7debbb24},,41.58636578390470000000,-71.98989706328800000000
Sites.111,POINT (-71.98954813187723 41.58635864887363),The Home Depot - Store 6221,142 River Rd,Lisbon,CT,6351,,328828,65,{8188051c-5e19-4057-a9bd-b4146a27688c},,41.58635864887360000000,-71.98954813187720000000
Sites.535,POINT (-71.5020103963436 41.58336167341573),4283,1255 Ten Rod Rd,North Kingstown,RI,2852,,261778,71,{6704b878-3f4b-4647-aefd-0a1b62abf953},,41.58336167341570000000,-71.50201039634360000000
Sites.262,POINT (-109.2686863812102 41.57800401665045),6003,"1925 Foothill Blvd, Rock Springs",Rock Springs,WY,82901,,262126,85,{5f2115ce-4134-4463-9e73-52bd819de6bc},,41.57800401665040000000,-109.26868638121000000000
Sites.354,POINT (-87.63431983888657 41.565303097865474),1936,17845 Halsted St,Homewood,IL,60430,,320275,91,{7dfbdc07-1d1f-4ec3-be3e-8fd9cbd5cb3d},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.56530309786540000000,-87.63431983888650000000
Sites.483,POINT (-75.22988485648413 41.556162670482266),6956,721 Old Willow Ave ,Honesdale,PA,18431,,590108,25,{30273493-b6ee-41c2-aa55-f1c180eb1bb5},,41.55616267048220000000,-75.22988485648410000000
Sites.105,POINT (-83.57808575370285 41.54210405157864),3858,"9570 Olde, US-20",Rossford,OH,43460,,349367,,{4261332a-47a0-4804-9c4d-f40a4bc1304d},,41.54210405157860000000,-83.57808575370280000000
Sites.347,POINT (-90.51990975287475 41.541495728108096),2111,920 Middle Rd,Bettendorf,IA,52722,,229225,41,{01ab4d94-ae5b-40e8-b4ea-3487e6ed2ad6},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.54149572810800000000,-90.51990975287470000000
Sites.543,POINT (-88.20152662964861 41.533372250046014),Store 6925,621 Brook Forest Ave,Shorewood,IL,60404,,272019,25,{54bfe22f-c970-4174-ad53-816fd396a1d3},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.53337225004600000000,-88.20152662964860000000
Sites.243,POINT (-71.30067016039858 41.527085179610275),4287,878 W Main Rd,Middletown,RI,2842,,222286,61,{4276502c-1a14-34bd-a2d7-cdf01eba0218},,41.52708517961020000000,-71.30067016039850000000
Sites.71,POINT (-83.74911062699994 41.50878821800006),Kroger Columbus - 521,8730 Waterville Swanton Rd,Waterville,OH,43566,,431388,52,{7F7FC1A1-0C6A-4EBA-8295-E4C43AF7C6EF},,41.50878821800000000000,-83.74911062699990000000
Sites.304,POINT (-82.01725785259262 41.461889220083236),3835,35930 Detroit Rd,Avon,OH,44011,,294096,51,{5fcb7520-be9c-4967-acc9-e6a9e63c65a9},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.46188922008320000000,-82.01725785259260000000
Sites.464,POINT (-82.67715625094924 41.420459481446244),Burger King,3911 Milan Rd.,Sandusky,OH,44870,,40106,17,{54384922-d62a-4387-9e58-17fe94e9a729},{4cbb436a-068d-41f3-a012-b41c20110e48},41.42045948144620000000,-82.67715625094920000000
Sites.165,POINT (-82.66532315293314 41.40330789243651),3866,715 Crossings Rd,Sandusky,OH,44870,,290017,95,{aac4eb48-4ff5-4f3d-85ca-862183e907d6},,41.40330789243650000000,-82.66532315293310000000
Sites.170,POINT (-82.10709387098076 41.38732750269282),3827,150 Market Dr,Elyria,OH,44035,,336046,72,{313260da-8f4b-4668-8ff5-c6fe05957770},,41.38732750269280000000,-82.10709387098070000000
Sites.503,POINT (-81.78173598062494 41.38125050780516),Burger King - Parma Heights,6671 Pearl Rd,Parma Heights,OH,44130,,18110,16,{7f66279a-35f9-4fd8-9f28-f141d73aa7ae},,41.38125050780510000000,-81.78173598062490000000
Sites.506,POINT (-81.78173598062494 41.38125050780516),Burger King - Parma Heights,6671 Pearl Rd,Parma Heights,OH,44130,,18110,16,{7f77279a-35f9-4fd8-9f28-f141d73aa7ae},,41.38125050780510000000,-81.78173598062490000000
Sites.261,POINT (-85.08636340069758 41.364323688104925),2024,403 Smaltz Way,Auburn,IN,46706,,277485,93,{2830319b-df42-4a2b-8984-7bf8a9450c7b},,41.36432368810490000000,-85.08636340069750000000
Sites.461,POINT (-81.68407329901595 41.357139350017924),Burger King - Seven Hills,7677 Broadview Rd,Seven Hills,OH,44131,,19296,10,{6ee53b5a-8066-4f23-b10a-ffd1aca8074a},,41.35713935001790000000,-81.68407329901590000000
Sites.518,POINT (-81.68407329901595 41.357139350017924),Burger King - Seven Hills,7677 Broadview Rd,Seven Hills,OH,44131,,19296,1,{6ff53b5a-8066-4f23-b10a-ffd1aca8074a},,41.35713935001790000000,-81.68407329901590000000
Sites.114,POINT (-83.64827471972475 41.35342535898498),3864,1169 S Main St.,Bowling Green,OH,43402,,245087,94,{cb71fcdd-5c54-4cdf-a071-219d00a02de0},,41.35342535898490000000,-83.64827471972470000000
Sites.430,POINT (-79.72276609984368 41.35039454179486),4178,6874 US-322,Franklin,PA,16323,,343781,88,{f1e1f94d-1b60-4b68-92bf-7693bc204273},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.35039454179480000000,-79.72276609984360000000
Sites.96,POINT (-73.08566698921348 41.32103142834745),6226,"Home Depot, 117 Main St",Derby,CT,6418,,187912,66,{02b8253a-708d-4f2e-9708-5f3090a0e107},,41.32103142834740000000,-73.08566698921340000000
Sites.168,POINT (-95.98661792877479 41.251362885303664),Dillons - 319,888 S Saddle Creek Rd,Omaha,NE,68106,,116783,44,{8ab750fb-90ea-4ec1-a664-567849d73955},,41.25136288530360000000,-95.98661792877470000000
Sites.259,POINT (-95.84601442942372 41.23022017255341),2109,3101 Manawa Centre Dr,Council Bluffs,IA,51501,,367000,58,{14e6b5da-5061-4498-8269-1a13edcaf288},,41.23022017255340000000,-95.84601442942370000000
Sites.138,POINT (-73.24159871784143 41.158510529303925),6206,541 Kings Hwy Cutoff,Fairfield,CT,6824,,170953,65,{89e0cb2b-30d9-420a-9765-e7cf8ade779e},,41.15851052930390000000,-73.24159871784140000000
Sites.270,POINT (-111.97447235383046 41.0660825478984),8583,449 N Main St.,Layton,UT,84041,,268333,96,{9b688607-8194-4dfa-abe4-b1b8635a00fa},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},41.06608254789840000000,-111.97447235383000000000
Sites.157,POINT (-81.72742456720275 41.05405672953208),3882,1155 High St,Wadsworth,OH,44281,,222247,84,{e4bdce31-eb45-413c-af01-99a02494ca63},,41.05405672953200000000,-81.72742456720270000000
Sites.412,POINT (-74.04122908747279 41.00100595439691),"117230 - Plaza at Hillsdale
","Washington Ave. & Broadway, Hillsdale, NJ, 7642
",Hillsdale,NJ,7642,,144188,47,{1695ba2e-c20c-4246-9c43-42c9f80ffdd2},{9332e7f4-c292-4480-af81-dacc89da5a87},41.00100595439690000000,-74.04122908747270000000
Sites.142,POINT (-73.86164944150292 40.97450062515719),,601 Sprain Rd,Yonkers,NY,10710,,109207,85,{ebf151f1-681a-4c2c-ac29-c729b54e36f2},,40.97450062515710000000,-73.86164944150290000000
Sites.29,POINT (-72.31587388799994 40.934160646000066),Bridgehampton Commons,2044 Montauk Hwy ,Bridgehampton,NY,11932,,,64,{0B78185C-0EC6-4DB0-9ED5-65F68908F02E},,40.93416064600000000000,-72.31587388799990000000
Sites.95,POINT (-72.6974918005751 40.92800707286425),1222,1550 Old Country Rd,Riverhead,NY,11901,,309176,82,{5282d02d-7c63-4c6a-af6c-94c9f5c06839},,40.92800707286420000000,-72.69749180057510000000
Sites.92,POINT (-72.6974918005751 40.92800707286425),1222,1550 Old Country Rd,Riverhead,NY,11901,,309176,,{5282d02d-7c63-4c6a-af6c-94c9f5c06839},,40.92800707286420000000,-72.69749180057510000000
Sites.102,POINT (-80.81742421775536 40.90389154022983),3877,2900 E State St, Salem,OH,44460,,266666,,{8a81052c-3fd6-4baf-9ab6-b44227970205},,40.90389154022980000000,-80.81742421775530000000
Sites.567,POINT (-74.25248775520576 40.886662827690174),Willowbrook Plaza,Willowbrook Blvd. & I-23,Wayne,NJ,7470,,446097,44,{f8862bc4-da8e-480c-bccb-431a47bdbcaf},{9332e7f4-c292-4480-af81-dacc89da5a87},40.88666282769010000000,-74.25248775520570000000
Sites.422,POINT (-72.53681708319863 40.876308040432605),103540 Hampton Bays Plaza,"Montauk Hwy. &, Riverhead-Hampton Bays Rd.",Hampton Bays,NY,11946,,214132,69,{64bea15c-a6bd-89ef-23fc-8934bbd2af61},,40.87630804043260000000,-72.53681708319860000000
Sites.416,POINT (-72.53700201931925 40.876254686312095),Hampton Bays Plaza,Montauk Hwy & Riverhead Bays Rd.,Hampton Bays,NY,11946,,230192,55,{b94ff322-f9c6-422d-8a83-30359eaee8d8},{9332e7f4-c292-4480-af81-dacc89da5a87},40.87625468631200000000,-72.53700201931920000000
Sites.414,POINT (-72.53659976899712 40.87587770420341),"103540 - Hampton Bays Plaza
",180 Montauk Hwy,Hampton Bays,NY,11946,,214133,56,{72a71842-ff88-4a08-b1d6-5a70f74a925c},{9332e7f4-c292-4480-af81-dacc89da5a87},40.87587770420340000000,-72.53659976899710000000
Sites.359,POINT (-72.99750958272391 40.86834818272362),1229,346 Middle Country Rd,Coram,NY,11727,,337546,39,{df4af53e-d3d6-4452-9162-83993dce5b28},,40.86834818272360000000,-72.99750958272390000000
Sites.475,POINT (-73.63146395493024 40.86718331955552),North Shore Triangle,School St. & Highland Rd.,Glen Cove,NY,11542,,56739,88,{9ef8d689-69cb-4710-b85b-0a96c9d88f1a},{9332e7f4-c292-4480-af81-dacc89da5a87},40.86718331955550000000,-73.63146395493020000000
Sites.447,POINT (-73.05171604864704 40.865064883956165),Independence Plaza,Middle Country Rd. & Boyle Rd. ,Selden,NY,11784,,661007,60,{752469e9-002e-4442-b11e-c505a90dc4fe},,40.86506488395610000000,-73.05171604864700000000
Sites.539,POINT (-73.13046958782584 40.86119937376248),Smithtown Plaza,Middle Country Road & Moriches Road,Nesconset,NY,11767,,180901,73,{f08aaff3-b1d8-4952-bbf4-92627b50f4ff},{9332e7f4-c292-4480-af81-dacc89da5a87},40.86119937376240000000,-73.13046958782580000000
Sites.97,POINT (-74.3218088433813 40.86051409115318),Store 965,"79 US-46, Montville", Montville,NJ,7045,,241383,56,{8e78a66c-9f10-4ef0-99c5-3984e23066e1},,40.86051409115310000000,-74.32180884338130000000
Sites.549,POINT (-73.28725103948331 40.8432522249889),115990 - Birchwood Plaza,2187 Jericho Turnpike,Commack,NY,11725,,80073,58,{2223bf6f-ac09-4ae4-b95b-94b549a81f8b},{9332e7f4-c292-4480-af81-dacc89da5a87},40.84325222498890000000,-73.28725103948330000000
Sites.449,POINT (-73.28550485221992 40.8391021643557),Veterans Memorial Plaza,Veterans Memorial Hwy & Sunken Meadow State Pkwy.,Commack,NY,11725,,879755,55,{fb4987c2-3d0e-4da0-a7d7-947afe066793},,40.83910216435570000000,-73.28550485221990000000
Sites.462,POINT (-73.3833652187298 40.83502747643181),"116600 - Turnpike Plaza
",717 E Jericho Turnpike,Huntington Station,NY,11746,,134441,34,{bd45ff7e-e836-4212-bd67-0aab1b7f185a},{9332e7f4-c292-4480-af81-dacc89da5a87},40.83502747643180000000,-73.38336521872980000000
Sites.470,POINT (-73.50086217900466 40.8241376630126),Kimco - 101090 Syosset S.C.,"Ira Rd. & Jackson Ave., Syosset, NY, 11791",Syosset,NY,11791,,59601,51,{1b8c99fa-12be-12e8-ff2c-82bc77ade981},,40.82413766301260000000,-73.50086217900460000000
Sites.636,POINT (-73.98299350622771 40.81280873474893),"113750 - Edgewater Commons
",New River Rd.,Edgewater,NJ,7020,,861420,29,{8ad86f74-e03f-4085-a842-0ca0c804867b},{9332e7f4-c292-4480-af81-dacc89da5a87},40.81280873474890000000,-73.98299350622770000000
Sites.378,POINT (-73.51084588973792 40.811166191574415),8466,111 Jericho Tpke,Syosset,NY,11791,,203676,69,{a35d128e-196d-4b43-9a90-014d2a53e8b7},,40.81116619157440000000,-73.51084588973790000000
Sites.174,POINT (-81.48849990272652 40.80030679858211),3860,2406 Lincoln Way E,Massillon,OH,44646,,290506,27,{4f913ef1-e60c-4d81-bb34-e0a85d87d280},,40.80030679858210000000,-81.48849990272650000000
Sites.460,POINT (-73.67010302848071 40.797720604824754),"100200 - Munsey Park Plaza
",2101 Northern Blvd,Manhasset,NY,11030,,175552,43,{e38a8c54-74e4-46ed-ba3a-0f4fd9d5d376},{9332e7f4-c292-4480-af81-dacc89da5a87},40.79772060482470000000,-73.67010302848070000000
Sites.492,POINT (-73.69489943261617 40.79220806940967),Manhasset Center,Northern Blvd & Shelter Rock Rd.,Manhasset ,NY,11030,,214253,65,{497870ac-53c9-4bf0-8d25-db72be675696},,40.79220806940960000000,-73.69489943261610000000
Sites.514,POINT (-73.53498938526452 40.79146561916137),Jericho Commons North,N. Broadway & Market St.,Jericho,NY,12571,,97966,63,{00281b97-4bdd-4816-bed4-2fc2b4f44db1},,40.79146561916130000000,-73.53498938526450000000
Sites.534,POINT (-73.5361694788828 40.7909451419249),Jericho Commons - 115950,N. Broadway & Market St.,Jericho,NY,11753,,28503,61,{c15a49f6-6a57-499f-bd9c-fc53acb3c4b3},,40.79094514192490000000,-73.53616947888280000000
Sites.426,POINT (-73.5349579203656 40.79071081811967),Jericho Atrium,500 North Broadway,Jericho,NY,11753,,239010,61,{6f62c8d4-cd85-4aa8-b26d-c956ed74a743},{9332e7f4-c292-4480-af81-dacc89da5a87},40.79071081811960000000,-73.53495792036560000000
Sites.465,POINT (-73.53494464863584 40.789455129071186),Jericho Commons South,N. Broadway & Market St.,Jericho,NY,11753,,184454,60,{9a761819-8097-4475-b46f-1e992f49a12d},,40.78945512907110000000,-73.53494464863580000000
Sites.601,POINT (-73.47423052716339 40.785275605122706),Manetto Hill Plaza,Manetto Hill Rd. & Country Dr.,Plainview,NY,11803,,220329,47,{152286fc-2951-4e8c-bcfa-9c79ce65270b},,40.78527560512270000000,-73.47423052716330000000
Sites.161,POINT (-72.86305088426504 40.78048476518046),,399 William Floyd Pkwy,Shirley,NY,11967,,217606,60,{db7f9fd0-0085-4a84-8c34-8c0ac3039383},,40.78048476518040000000,-72.86305088426500000000
Sites.408,POINT (-73.52888916326509 40.777652034624424),Hicksville Plaza,N. Broadway Rte. 106/107 & Nevada St.,Hicksville,NY,11801,,81603,92,{ac630fad-d964-418b-b633-aaaa59c3cc60},{9332e7f4-c292-4480-af81-dacc89da5a87},40.77765203462440000000,-73.52888916326500000000
Sites.118,POINT (-89.67228846050253 40.77354047070117),1978,5026 West Holiday Drive ,Peoria,IL,61615,,246603,28,{c9a48d48-c344-4ece-9281-95330a364eb0},,40.77354047070110000000,-89.67228846050250000000
Sites.450,POINT (-73.72594448245314 40.76484652720306),"110170 - Little Neck Plaza
",25427 Horace Harding Expy,Queens,NY,11362,,85743,39,{ce588eac-6e73-4d2c-8b82-c245c1f5242d},{9332e7f4-c292-4480-af81-dacc89da5a87},40.76484652720300000000,-73.72594448245310000000
Sites.267,POINT (-86.31063223726939 40.75906895071946),2023,4120 E Market St.,Logansport,IN,46947,,240175,90,{61941cdf-4f15-4744-a4b6-4fb002c37e96},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},40.75906895071940000000,-86.31063223726930000000
Sites.435,POINT (-73.62366877681758 40.75577698056634),"115910 - Mineola Crossings
",330 E Jericho Turnpike,Mineola,NY,11501,,58076,33,{41f59cf2-e488-4ad9-8d52-93adfd64a362},{9332e7f4-c292-4480-af81-dacc89da5a87},40.75577698056630000000,-73.62366877681750000000
Sites.27,POINT (-73.81802356399999 40.75038662500003),Kissena,46-31 Kissena Blvd,Queens,NY,11355,,41228,60,{BE3516C9-740D-4C85-A769-32DF94E20C57},,40.75038662500000000000,-73.81802356399990000000
Sites.484,POINT (-73.23684878084137 40.74023734194966),113570 Market at Bay Shore,"Sunrise Hwy. & Brentwood Rd., Bay Shore, NY, 11706",Bay Shore,NY,11706,,439830,84,{1b8e99fe-19ce-adb7-eea9-125d97efadc3},,40.74023734194960000000,-73.23684878084130000000
Sites.35,POINT (-73.89679272199999 40.72447671500004),Grand Plaza,56 Grand Ave,Maspeth,NY,11378,,25802,36,{9EFEF66D-13A5-4511-B9D4-39CC1178BF0A},,40.72447671500000000000,-73.89679272199990000000
Sites.438,POINT (-74.33432725418855 40.722238855127095),Plaza at short hillsq,Morris Tpke & Broad St.,Millburn ,NJ,7078,,371310,60,{cd9f7fda-fd02-4389-8f11-f278f5c7a8cd},{9332e7f4-c292-4480-af81-dacc89da5a87},40.72223885512700000000,-74.33432725418850000000
